indicator,location,country,value,rank,lat,long,code
Civic Engagement,AUS,Australia,48.15,1,-25.274398,133.775136,36
Civic Engagement,LUX,Luxembourg,47.25,2,49.815273,6.129583,442
Civic Engagement,BEL,Belgium,46.7,3,50.503887,4.469936,56
Civic Engagement,SWE,Sweden,44.2,4,60.128161,18.643501,752
Civic Engagement,DNK,Denmark,44.05,5,56.26392,9.501785,208
Civic Engagement,TUR,Turkey,43.45,6,38.963745,35.243322,792
Civic Engagement,ISL,Iceland,41.7,7,64.963051,-19.020835,352
Civic Engagement,KOR,Korea,41.1,8,35.907757,127.766922,410
Civic Engagement,FRA,France,40.95,9,46.227638,2.213749,250
Civic Engagement,NZL,New Zealand,40.65,10,-40.900557,174.885971,554
Civic Engagement,BRA,Brazil,40.45,11,-14.235004,-51.92528,76
Civic Engagement,NOR,Norway,40.05,12,60.472024,8.468946,578
Civic Engagement,ZAF,South Africa,39.6,13,-30.559482,22.937506,710
Civic Engagement,ITA,Italy,39.05,14,41.87194,12.56738,380
Civic Engagement,AUT,Austria,38.05,15,47.516231,14.550072,40
Civic Engagement,NLD,Netherlands,37.95,16,52.132633,5.291266,528
Civic Engagement,ESP,Spain,37.9,17,40.463667,-3.74922,724
Civic Engagement,ISR,Israel,37.05,18,31.046051,34.851612,376
Civic Engagement,DEU,Germany,36.05,19,51.165691,10.451526,276
Civic Engagement,CAN,Canada,35.8,20,56.130366,-106.346771,124
Civic Engagement,IRL,Ireland,35.4,21,53.41291,-8.24389,372
Civic Engagement,FIN,Finland,35.35,22,61.92411,25.748151,246
Civic Engagement,USA,United States,34.5,23,37.09024,-95.712891,840
Civic Engagement,LVA,Latvia,34.1,24,56.879635,24.603189,428
Civic Engagement,GBR,United Kingdom,33.55,25,55.378051,-3.435973,826
Civic Engagement,RUS,Russia,33.5,26,61.52401,105.318756,643
Civic Engagement,MEX,Mexico,33.25,27,23.634501,-102.552784,484
Civic Engagement,EST,Estonia,33.1,28,58.595272,25.013607,233
Civic Engagement,GRC,Greece,32.25,29,39.074208,21.824312,300
Civic Engagement,SVK,Slovak Republic,31.55,30,48.669026,19.699024,703
Civic Engagement,HUN,Hungary,31.3,31,47.162494,19.503304,348
