indicator,location,country,value,lat,long,code,rank
Civic Engagement,AUS,Australia,48.15,-25.274398,133.775136,36,1
Civic Engagement,LUX,Luxembourg,47.25,49.815273,6.129583,442,2
Civic Engagement,BEL,Belgium,46.7,50.503887,4.469936,56,3
Civic Engagement,SWE,Sweden,44.2,60.128161,18.643501,752,4
Civic Engagement,DNK,Denmark,44.05,56.26392,9.501785,208,5
Civic Engagement,TUR,Turkey,43.45,38.963745,35.243322,792,6
Civic Engagement,ISL,Iceland,41.7,64.963051,-19.020835,352,7
Civic Engagement,KOR,Korea,41.1,35.907757,127.766922,410,8
Civic Engagement,FRA,France,40.95,46.227638,2.213749,250,9
Civic Engagement,NZL,New Zealand,40.65,-40.900557,174.885971,554,10
Civic Engagement,BRA,Brazil,40.45,-14.235004,-51.92528,76,11
Civic Engagement,NOR,Norway,40.05,60.472024,8.468946,578,12
Civic Engagement,ZAF,South Africa,39.6,-30.559482,22.937506,710,13
Civic Engagement,ITA,Italy,39.05,41.87194,12.56738,380,14
Civic Engagement,AUT,Austria,38.05,47.516231,14.550072,40,15
Civic Engagement,NLD,Netherlands,37.95,52.132633,5.291266,528,16
Civic Engagement,ESP,Spain,37.9,40.463667,-3.74922,724,17
Civic Engagement,ISR,Israel,37.05,31.046051,34.851612,376,18
Civic Engagement,DEU,Germany,36.05,51.165691,10.451526,276,19
Civic Engagement,CAN,Canada,35.8,56.130366,-106.346771,124,20
Civic Engagement,IRL,Ireland,35.4,53.41291,-8.24389,372,21
Civic Engagement,FIN,Finland,35.35,61.92411,25.748151,246,22
Civic Engagement,USA,United States,34.5,37.09024,-95.712891,840,23
Civic Engagement,LVA,Latvia,34.1,56.879635,24.603189,428,24
Civic Engagement,GBR,United Kingdom,33.55,55.378051,-3.435973,826,25
Civic Engagement,RUS,Russia,33.5,61.52401,105.318756,643,26
Civic Engagement,MEX,Mexico,33.25,23.634501,-102.552784,484,27
Civic Engagement,EST,Estonia,33.1,58.595272,25.013607,233,28
Civic Engagement,GRC,Greece,32.25,39.074208,21.824312,300,29
Civic Engagement,SVK,Slovak Republic,31.55,48.669026,19.699024,703,30
Civic Engagement,HUN,Hungary,31.3,47.162494,19.503304,348,31
Civic Engagement,CZE,Czech Republic,30.8,49.817492,15.472962,203,32
Civic Engagement,POL,Poland,28.8,51.919438,19.145136,616,33
Civic Engagement,PRT,Portugal,28.8,39.399872,-8.224454,620,34
Civic Engagement,SVN,Slovenia,27.8,46.151241,14.995463,705,35
Civic Engagement,JPN,Japan,26.65,36.204824,138.252924,392,36
Civic Engagement,CHL,Chile,25.85,-35.675147,-71.542969,152,37
Civic Engagement,CHE,Switzerland,25.6,46.818188,8.227512,756,38
Community,NZL,New Zealand,99,-40.900557,174.885971,554,1
Community,DNK,Denmark,96,56.26392,9.501785,208,2
Community,ISL,Iceland,95.8,64.963051,-19.020835,352,3
Community,AUS,Australia,95.25,-25.274398,133.775136,36,4
Community,ESP,Spain,95,40.463667,-3.74922,724,5
Community,IRL,Ireland,95,53.41291,-8.24389,372,6
Community,FIN,Finland,94,61.92411,25.748151,246,7
